Provinsi,UMP,populasi (ribu),kepadatan(/km^2),PDRB (miliar),tingkat_pengangguran,tingkat_penyelesaian_pendidikan_SD,tingkat_penyelesaian_pendidikan_SMP,tingkat_penyelesaian_pendidikan_SMA
Aceh,3460672,5554.8,98,227110,5.75,99.08,94.55,74.46
Sumatera Utara,2809915,15588.5,215,1050995,5.6,98.75,94.35,74.43
Sumatera Selatan,3456874,8837.3,102,629100,3.86,97.58,87.95,64.81
Sumatera Barat,2811499,5836.2,139,312770,5.75,95.81,90.65,68.64
Bengkulu,2507079,2112.2,105,96551,3.11,97.1,89.25,63.41
Riau,3294625,6728.1,75,1026472,3.7,98.09,90.52,67.79
Kepulauan Riau,3402492,2183.3,264,331890,6.39,97.92,95.51,78.97
Jambi,3037121,3724.3,76,293729,4.48,97.76,89.35,66.62
Lampung,2716496,9419.6,281,448880,4.19,98.67,87.67,64.54
Kepulauan Bangka Belitung,3640000,1531.5,92,102636,4.63,96.01,87.11,68.96
Kalimantan Barat,2702616,5695.5,39,274469,4.86,95.33,81.56,55.58
Kalimantan Timur,3360858,4045.9,32,843571,5.14,97.88,94.85,73.63
Kalimantan Selatan,3282812,4273.4,115,269296,4.2,95.99,88.19,68.35
Kalimantan Tengah,3261616,2809.7,18,208846,4.01,97.47,88.92,63.93
Kalimantan Utara,3361653,739.8,11,147279,3.9,96.41,88.08,59.5
Banten,2727812,12431.4,1329,814124,6.68,97.15,90.86,70.07
DKI Jakarta,5067381,10684.9,16165,3442981,6.21,98.66,95.85,88.1
Jawa Barat,2057495,50345.2,1359,2625219,6.75,99.09,91.42,66.47
Jawa Tengah,2036947,37892.3,1104,1696795,4.78,98.42,90.64,58.35
Daerah Istimewa Yogyakarta,2125897,3759.5,1186,180690,3.48,98.95,97.02,89.69
Jawa Timur,2165244,41814.5,870,2953547,4.19,98.78,90.74,68.65
Bali,2713672,4433.3,793,274356,1.79,98.43,93.03,76.51
Nusa Tenggara Timur,2186826,5656,122,128523,3.02,93.41,82.48,43.46
Nusa Tenggara Barat,2444067,5646,287,166395,2.73,98.11,92.95,63.66
Gorontalo,3025100,1227.8,102,51374,3.13,93.69,83.71,46.19
Sulawesi Barat,2914958,1503.2,91,58552,2.68,95.13,84.04,54.79
Sulawesi Tengah,2736698,3121.8,51,347139,2.94,97.56,90.05,55.69
Sulawesi Utara,3545000,2701.8,186,171969,5.85,96.18,92.07,67.57
Sulawesi Tenggara,2885964,2793.1,77,176180,3.09,97.83,89.55,68.28
Sulawesi Selatan,3434298,9463.4,209,652574,4.19,98.37,88.74,67.41
Maluku Utara,3200000,1355.6,41,85145,4.03,98.3,93.46,64.61
Maluku,2949953,1945.6,42,58490,6.11,98.69,93.9,75.01
Papua Barat,4024270,1205.8,12,61571,4.13,92.69,88.63,59.99
Papua,4024270,4542.6,15,36104,6.48,80.09,67.12,39.5
